Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13;Telefone 14
Melhores Escolas em Caruaru - PE;https://www.melhorescola.com.br/escola/por-avaliacao/pernambuco/caruaru;Melhores Escolas em Caruaru - PE | Caruaru;2025-05-26 17:58:20;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;
Escolas no Ensino Médio na cidade de Caruaru - PE;https://querobolsa.com.br/escolas/etapa-de-ensino/ensino-medio/caruaru-pe;Escolas no Ensino Médio na cidade de Caruaru - PE | Caruaru;2025-05-26 17:58:20;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;
COLEGIO ALTERNATIVO DE CARUARU | QEdu;https://qedu.org.br/escola/26055686-colegio-alternativo-de-caruaru;COLEGIO ALTERNATIVO DE CARUARU | QEdu | Caruaru;2025-05-26 17:58:20;;;;(81) 3722-4202;;;;;;;;;;;;;
GRE’s – Gerências Regionais de Educação e Escolas – SEE;https://portal.educacao.pe.gov.br/gres-e-escolas/;Endereço | Agreste-Centro-Norte-Caruaru;2025-05-26 17:58:20;ouvidoria@ouvidoria.pe.gov.br;ouvidoria@educacao.pe.gov.br;;;;;;;;;;;;;;;
Sesc Caruaru - Sesc PE | Cultura, Educação, Saúde, Lazer e Assistência;https://www.sescpe.org.br/unidades/sesc-caruaru/;Endereço: | Endereço Sede;2025-05-26 17:58:20;sesccaruaru@sescpe.com.br;;;(81) 3721-3967;(81) 3216-1616;(81) 99805-1480;;;;;;;;;;;
Caruaru - Senac Pernambuco;https://www.pe.senac.br/unidades/caruaru/caruaru/;Endereço | Caruaru - Senac Pernambuco;2025-05-26 17:58:20;cfp-caruaru@pe.senac.br;senac@pe.senac.br;;;;;;;;;;;;;;;
SEIP - Secretaria Executiva de EducaÃ§Ã£o Integral e Profissional de Pernambuco;https://sisacad.educacao.pe.gov.br/sissel/seip/index.php?p=polo&id=72;ETE DE CARUARU NELSON BARBALHO | ;2025-05-26 17:58:20;etenelsonbarbalho@gmail.com;;;(81)3701-1147;(81) 3183-9832;(81)9488-9852;;;;;;;;;;;
Varejão do Estudante;https://www.varejao.com.br/ListaEscolas.aspx?argumento=&cid_id=CARUARU;CARUARU (800) | RUA OLAVO BILAC - Indianopolis - Caruaru - PE;2025-05-26 17:58:20;almirneto.varejao@gmail.com;atendimento@varejao.com.br;;;;;;;;;;;;;;;
Cebrac Caruaru;https://www.cebrac.com.br/escolas/caruaru/;Cebrac Caruaru | Caruaru;2025-05-26 17:58:20;;;;(81) 3721-9070;(81) 98494-5146;;;;;;;;;;;;
Ctrl+Play Caruaru/PE - Programação e Robótica;https://ctrlplay.com.br/unidades/caruaru-pe/;Ctrl+Play Caruaru/PE - Programação e Robótica | Seja bem-vindo à Ctrl+Play Caruaru (PE);2025-05-26 17:58:20;;;;(81) 98477-7215;;;;;;;;;;;;;
RI UFPE: Educação ambiental em escola pública: reflexões a partir da abordagem de trabalhos por projetos no ensino de ciências, Caruaru – PE.;https://repositorio.ufpe.br/handle/123456789/32194;RI UFPE: Educação ambiental em escola pública: reflexões a partir da abordagem de trabalhos por projetos no ensino de ciências, Caruaru – PE. | Educação ambiental em escola pública: reflexões a partir da abordagem de trabalhos por projetos no ensino de ciências, Caruaru – PE.;2025-05-26 17:58:20;attena@ufpe.br;;;(81) 2126-8089;;;;;;;;;;;;;
Athletico Paranaense – Site Oficial  » Escola Furacão de Caruaru (PE) participa de torneio internacional em Goiás;https://www.athletico.com.br/noticia/317-escola-furaco-de-caruaru-pe-participa-de-torneio-internacional-em-gois/;Athletico Paranaense – Site Oficial  » Escola Furacão de Caruaru (PE) participa de torneio internacional em Goiás | Escola Furacão de Caruaru (PE) participa de torneio internacional em Goiás;2025-05-26 17:58:20;rafel@hero99.com.br;;;;;;;;;;;;;;;;
Caruaru - Juizados Especiais - TJPE;https://portal.tjpe.jus.br/web/juizados-especiais/turmas-recursais/caruaru;Endereços e Telefones | Endereços e telefones;2025-05-26 17:58:20;colrec02.caruaru@tjpe.jus.br;;;(81) 3719-9260;(81) 3182-0100;;;;;;;;;;;;
SESI-PE - Unidades;https://pe.sesi.org.br/unidades/;Endereço | Caruaru;2025-05-26 17:58:20;;;;(81) 2011-4677;(81) 98866-6236;(87) 3873-1087;(81) 3202-9300;(81) 98866-7291;(81) 2011-4676;(81) 3265-7065;(81) 3458-1653;(81) 3339-1233;(81) 3481-0176;(81) 3433-0134;(87) 98175-5362;(81) 98273-7514;(81) 98204-2790
Urban95 | Centros de educação infantil de Caruaru (PE) aproximam crianças da natureza;https://urban95.org.br/centros-de-educacao-infantil-de-caruaru-pe-aproximam-criancas-da-natureza/;Urban95 | Centros de educação infantil de Caruaru (PE) aproximam crianças da natureza | Centros de educação infantil de Caruaru (PE) aproximam crianças da natureza;2025-05-26 17:58:20;contato@urban95.org.br;;;;;;;;;;;;;;;;
Sesc inaugura escola inovadora em Caruaru - Sesc PE | Cultura, Educação, Saúde, Lazer e Assistência;https://www.sescpe.org.br/2023/02/27/sesc-inaugura-escola-inovadora-em-caruaru/;Endereço Sede | Sesc inaugura escola inovadora em Caruaru - Sesc PE | Cultura, Educação, Saúde, Lazer e Assistência;2025-05-26 17:58:20;;;;(81) 3216-1616;;;;;;;;;;;;;
Instruções de Direção para Escola Municipal Deputada Cristina Tavares, Caruaru - Waze;https://www.waze.com/pt-BR/live-map/directions/escola-municipal-deputada-cristina-tavares-caruaru?to=place.w.212338357.2123383572.9127899;Endereço de Escola Municipal Deputada Cristina Tavares, Caruaru | Instruções de Direção para Escola Municipal Deputada Cristina Tavares, Caruaru - Waze;2025-05-26 17:58:20;;;;(81) 3701-1338;;;;;;;;;;;;;
Fotografias documentam a história do colégio mais antigo de caruaru | Espacial Publicitário - Colégio Sagrado Coração | G1;https://g1.globo.com/pe/caruaru-regiao/especial-publicitario/colegio-sagrado-coracao/noticia/2020/11/11/fotografias-documentam-a-historia-do-colegio-mais-antigo-de-caruaru.ghtml;Fotografias documentam a história do colégio mais antigo de caruaru | Espacial Publicitário - Colégio Sagrado Coração | G1 | Fotografias documentam a história do colégio mais antigo de caruaru;2025-05-26 17:58:20;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;;;;
Portal Consed;https://www.consed.org.br/noticia/estudios-de-gravacao-e-edicao-de-audio-e-video-sao-inaugurados-em-escola-de-caruaru;Estúdios de gravação e edição de áudio e vídeo são inaugurados em escola de Caruaru | Coronavirus;2025-05-26 17:58:20;atendimento@maxmeio.com;consed@consed.org.br;;(61) 2195-8650;;;;;;;;;;;;;
Emanuel Colegio Cristao em Caruaru, PE | Escolas | Solutudo;https://www.solutudo.com.br/empresas/pe/caruaru/escolas/emanuel-colegio-cristao-11107453;Ver endereço | Endereço;2025-05-26 17:58:20;;;;(81) 3722-7298;;;;;;;;;;;;;
CONTATO | Colégio Alternativo;https://www.alternativocaruaru.com.br/contato;Av. Rui Barbosa, nº 320, Maurício de Nassau, Caruaru - PE CEP: 55012-080 Unidade lI de Ensino | Rua Bahia, nº 45, Divinópolis, Caruaru - PE CEP: 55010-350;2025-05-26 17:58:20;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;(81)3722-4202;;;;;;;;;;;;;
CURRÍCULO E EDUCAÇÃO INCLUSIVA: UM OLHAR PARA AS ESCOLAS MUNICIPAIS DE CARUARU-PE | Realize Editora;https://editorarealize.com.br/artigo/visualizar/36343;CURRÍCULO E EDUCAÇÃO INCLUSIVA: UM OLHAR PARA AS ESCOLAS MUNICIPAIS DE CARUARU-PE | Realize Editora | Artigo: CURRÍCULO E EDUCAÇÃO INCLUSIVA: UM OLHAR PARA AS ESCOLAS MUNICIPAIS DE CARUARU-PE;2025-05-26 17:58:20;contato@portalrealize.com.br;daysianer@gmail.com;;;;;;;;;;;;;;;
Escola - Escola Cora Coralina - Caruaru - PE;https://www.escol.as/317891-escola-cora-coralina;Endereço | Escola - Escola Cora Coralina - Caruaru - PE;2025-05-26 17:58:20;;;;(81) 98927-1781;;;;;;;;;;;;;
ESCOLAS DE ENSINO REGULAR em CARUARU, PERNAMBUCO PAGINA 10;https://guia-pernambuco.escolasecreches.com.br/ensino-regular/caruaru-pernambuco/index-10.htm;"Privada / Particular
               Em atividade Endereço: RUA NECO LIRA 222, 
                Caruaru. Telefone: 81 3721-1505 | Municipal
                Em atividade Endereço: AVENIDA ANTONIO CARLOS DA SILVA 100, 
                Caruaru. Telefone: 81 8636-2513";2025-05-26 17:58:20;info@escolasecreches.com.br;;;81 3701-1041;81 8636-2513;81 3045-1748;81 3724-2505;81 3721-1505;81 3723-4676;81 3719-2943;;;;;;;
Conheça 6 curiosidades por trás do Colégio Sagrado Coração | Espacial Publicitário - Colégio Sagrado Coração | G1;https://g1.globo.com/pe/caruaru-regiao/especial-publicitario/colegio-sagrado-coracao/noticia/2020/11/11/conheca-6-curiosidades-por-tras-do-colegio-mais-antigo-de-caruaru.ghtml;De Caruaru para o mundo, Colégio Sagrado Coração tem trabalho reconhecido pelo vaticano. | 1 - HISTÓRIA QUE SE FUNDE Netos do fundador de Caruaru estudaram no Colégio Sagrado Coração e fizeram parte formação da primeira turma em 1920.;2025-05-26 17:58:20;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;;;;
Colégio Dallas;https://colegiodallas.com.br/;Endereço: | Rua Antonio Portela, nº 54, Engenho Novo, Rio de Janeiro/RJ;2025-05-26 17:58:20;atendimento@colegiodallas.com.br;;;(21) 2018-4725;(21) 96563-8095;;;;;;;;;;;;
Driving directions to Colégio Motivo, 96 Rua José Carlos de Oliveira, Caruaru - Waze;https://www.waze.com/live-map/directions/colegio-motivo-rua-jose-carlos-de-oliveira-96-caruaru?to=place.w.212338357.2123580181.2896074;Driving directions to Colégio Motivo, 96 Rua José Carlos de Oliveira, Caruaru - Waze | 96 Rua José Carlos de Oliveira, Caruaru, Pernambuco, Brazil;2025-05-26 17:58:20;;;;(81) 3722-6011;;;;;;;;;;;;;
Escolas Particulares em Caruaru, PE | Lista Mais;https://www.listamais.com.br/categoria/X775-2212/escolas-particulares-em-caruaru-pe;Endereço | Endereço (A ⃗ Z);2025-05-26 17:58:20;atendimento@listamais.com.br;;;;;;;;;;;;;;;;
Para Você - Senac Pernambuco;https://www.pe.senac.br/;Caruaru | Centro de Convenções de Caruaru;2025-05-26 17:58:20;senac@pe.senac.br;;;;;;;;;;;;;;;;
Escola - Colegio Municipal Professor Luiz Pessoa da Silva - Caruaru - PE;https://www.escol.as/100222-colegio-municipal-professor-luiz-pessoa-da-silva;Endereço | Escola - Colegio Municipal Professor Luiz Pessoa da Silva - Caruaru - PE;2025-05-26 17:58:20;;;;(81) 3101-0011;(81) 3701-1319;;;;;;;;;;;;
PRÉ-ESCOLAS DE MEIO PERÍODO em CARUARU, PERNAMBUCO;https://guia-pernambuco.escolasecreches.com.br/educacao-infantil-pre-escola-menos-de-7-horas-de-duracao/caruaru-pernambuco/index.htm;"Municipal
               Em atividade Endereço: RUA SAO NICOLAU SN, 
                Caruaru. Telefone: 81 3701-1323 | Privada / Particular
                Em atividade Endereço: RUA IOIO NUNES 2428, 
                Caruaru. Telefone: 81 3095-5150";2025-05-26 17:58:20;info@escolasecreches.com.br;;;81 3095-5150;81 3724-5022;81 3701-1323;81 3724-0918;81 3045-3014;81 3719-9511;81 3722-6727;81 3723-2598;81 3101-3400;;;;;
