Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13
SEAD - Secretaria de Estado da Administração;https://sead.portal.ap.gov.br/noticia/1912/pedra-branca-participam-de-recital-no-centro-de-musica-walkiria-lima;Toggle navigation | DAR Avulso;2025-05-27 17:52:36;cotec@prodap.ap.gov.br;protocolo@sead.ap.gov.br;;;;;;;;;(96) 98414-6982;;;;;;;;;;;;
Notícias Embrapa - Portal Embrapa;https://www.embrapa.br/busca-de-noticias/-/noticia/busca/pesca+OR+aquicultura+OR+piscicultura?p_auth=uNZIDbMo&_buscanoticia_WAR_pcebusca6_1portlet_keywords=&_buscanoticia_WAR_pcebusca6_1portlet_advancedSearch=false&_buscanoticia_WAR_pcebusca6_1portlet_delta=50&_buscanoticia_WAR_pcebusca6_1portlet_resetCur=false&_buscanoticia_WAR_pcebusca6_1portlet_andOperator=true&_buscanoticia_WAR_pcebusca6_1portlet_cur=31;Os módulos de tanque de peixes, aviário de corte, aviário de postura, meliponário, bananas, girassol, horticultura, abacaxi, açafrão, minhocário e composteira compõem o Sisteminha.... | Sisteminha tem impacto avaliado;2025-05-27 17:52:36;sac@embrapa.br;;;;;;;;;;(61) 3448-4433;;;;;;;;;;;;
Tribunal Regional Eleitoral do Amazonas;https://www.tre-am.jus.br/;Endereço e telefones do tribunal | Endereço: Av. André Araújo, nº 200, Aleixo;2025-05-27 17:52:36;ouvidoriadamulher@tre-am.jus.br;ouvidoria@tre-am.jus.br;;;;;;;;;(92) 3632-4499;(92) 3632-4454;;;;;;;;;;;
Licitanet - Licitações Online;https://licitanet.com.br/processos;Licitanet - Licitações Online | Avisos;2025-05-27 17:52:36;licitacao@valenca.ba.gov.br;comercial@licitanet.com.br;fornecedor@licitanet.com.br;cpl@der.se.gov.br;licitacao@prefeiturapiumhi.mg.gov.br;cpl@fatima.to.gov.br;suporte@licitanet.com.br;licitacao@boquira.ba.gov.br;cplcoari.am@gmail.com;cpl@cmraposa.ma.gov.br;(34) 2512-6500;(34) 3014-6633;(98) 8785-0004;(79) 3218-9000;(75) 3641-8319;(63) 3365-1219;(77) 3645-3802;(97) 9988-0447;(37) 3371-9200;;;;
SEFAZ/AM - Secretaria de Estado da Fazenda do Amazonas;https://www.sefaz.am.gov.br/;Ir para a Navegação | Secretaria de Estado da Fazenda do Amazonas Av André Araújo, 150 - Aleixo - CEP: 69060-000 Segunda a Sexta das 08h às 14h Email: ouvidoria@sefaz.am.gov.br Fone: (92) 2121-1600;2025-05-27 17:52:36;ouvidoria@sefaz.am.gov.br;;;;;;;;;;(92) 2121-1600;;;;;;;;;;;;
Banco da Amazônia;https://www.bancoamazonia.com.br/;Com o programa Giro Essencial você investe mais e melhor. Construa um futuro sustentável para você e para a sua empresa. | Prevenção à Lavagem de Dinheiro;2025-05-27 17:52:36;imprensa@basa.com.br;;;;;;;;;;;;;;;;;;;;;;
SciELO  Brasil - Automedicação entre estudantes de graduação do interior do Amazonas Automedicação entre estudantes de graduação do interior do Amazonas;https://www.scielo.br/j/ape/a/4msxJqzGG7skL8FhxKX3ZBM/;Rua Dr. Diogo de Faria, 1087 – 9º andar – Vila Clementino 04037-003 São Paulo/SP - Brasil E-mail: scielo@scielo.org | navigate_before;2025-05-27 17:52:36;scielo@scielo.org;actapaulista@unifesp.br;paulaviana_lima@hotmail.com;;;;;;;;;;;;;;;;;;;;
Feira de Matemática, realizada em Coari, incentiva uso de ferramentas tecnológicas para o ensino | No Ar!;https://noarportal.com.br/feira-de-matematica-e-realizada-ate-novembro-em-coari/;Busca Avançada | o encontro visa proporcionar a aprendizagem da Matemática aos alunos do ensino médio, através do uso e criação de ferramentas tecnológicas.;2025-05-27 17:52:36;;;;;;;;;;;(92) 98462-9576;;;;;;;;;;;;
Portal TRT11 - Institucional;https://portal.trt11.jus.br/index.php/servidor/fale-conosco/41-servicos/institucional?start=35;Endereços das Unidades | Endereço:Rua Visconde de Porto Alegre, 1265 - Praça 14;2025-05-27 17:52:36;;;;;;;;;;;(92) 3621-7420;(92) 3621-7320;(92) 3621-7371;(92)3621-7338;(92) 3621-7432;(92) 3621-7356;(92) 3621-7362;(92) 3621-7350;(92) 3621-7367;(92) 3621-7352;(92) 3621-7392;(92) 3621-7206;(92)3621-7426
CETI COARI;https://ceticoari.blogspot.com/;Não extraído;2025-05-27 17:52:36;eetimanuelcoari@seduc.net;;;;;;;;;;;;;;;;;;;;;;
Certidão Online - Cartórios Tocantins;https://cartoriostocantins.com.br/certidaoonline;Endereço: | ARARUAMA - RJ;2025-05-27 17:52:36;contato@anoregto.com.br;;;;;;;;;;(63) 99282-7102;;;;;;;;;;;;
Escola Pública Amapá;https://www.escolapublica.ap.gov.br/;Toggle navigation | 28 e 29/04 Matrícula / Entrega de documentos nos CEP;2025-05-27 17:52:36;pss.aluno.ept.seed.2025@gmail.com;chamadaescolar@seed.ap.gov.br;;;;;;;;;;;;;;;;;;;;;
"No lançamento da ""1.ª Semana de Regularização Fundiária"" no AM, corregedor nacional de Justiça destaca importância da ação para a Amazônia - TJAM";https://www.tjam.jus.br/index.php/cgj-sala-de-imprensa/cgj-noticias/9307-no-lancamento-da-1-semana-de-regularizacao-fundiaria-no-am-corregedor-nacional-de-justica-destaca-importancia-da-acao-para-a-amazonia;Este endereço de email está sendo protegido de spambots. Você precisa do JavaScript ativado para vê-lo. | Seu navegador não possui suporte para JavaScript.;2025-05-27 17:52:36;comunicacao.cgj@tjam.jus.br;corregedoria@tjam.jus.br;;;;;;;;;(92) 2129-6666;(92) 2129-6677;(92) 2129-6672;;;;;;;;;;
Ministério Público determina que prefeito de Coari exonere parentes de cargos públicos | Amazonas | G1;https://g1.globo.com/am/amazonas/noticia/2025/02/11/ministerio-publico-determina-que-prefeito-de-coari-exonere-parentes-de-cargos-publicos.ghtml;Caruaru e região | Susto em aeronave;2025-05-27 17:52:36;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;;;;;;;;;;
Amazonas tem 1,1% da população diagnosticada com autismo - Portal Você Online;https://portalvoce.com/amazonas-tem-11-da-populacao-diagnosticada-com-autismo/;O seu endereço de e-mail não será publicado. | davi;2025-05-27 17:52:36;jornalismo@portalvoce.com;;;;;;;;;;(92) 99347-7224;;;;;;;;;;;;
