Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Email 11;Email 12;Email 13;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7
Educação – Sesc Roraima;https://www.sescrr.com.br/educacao/;Rua Dr. Araújo Filho, 947 – Centro/ Boa Vista – RR CEP: 69301-090 | ;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 99162-3980;(95) 99151-7646;(95) 99136-2287;(95) 3212-2825;(95) 3624-9850;(95) 3212-2800;
EDUCAÇÃO – Confira a lista de escolas estaduais em reforma, construção e concluídas pelo Governo de Roraima – SEINF;https://seinf.rr.gov.br/educacao-confira-a-lista-de-escolas-estaduais-em-reforma-construcao-e-concluidas-pelo-governo-de-roraima/;O seu endereço de e-mail não será publicado. | ENDEREÇO:;2025-05-27 17:43:26;seinf.gab@gmail.com;;;;;;;;;;;;;;;;;;;
Início | Maple Bear Boa Vista;https://boavista.maplebear.com.br/;Avenida Ville Roy, 1945, Caçari Boa Vista - RR - RR | Ter a consciência de que posso fazer reflexões profundas. Habilidade que, na Maple Bear, está ligada às constantes avaliações e a cultura de portfólio;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 3224-0995;;;;;;
Prefeitura de Boa Vista abre matrículas para pré-escola e modalidade EJA | Roraima | G1;https://g1.globo.com/rr/roraima/noticia/2025/01/03/prefeitura-de-boa-vista-abre-matriculas-para-pre-escola-e-modalidade-eja.ghtml;Caruaru e região | Solicitações devem ser feitas por meio da Central Tele Matrículas (0800-280-3536), que funciona de segunda a domingo, das 7h às 19h, ou através do aplicativo Matrícula On-line.;2025-05-27 17:43:26;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;;;;;;;
Governo disponibilizará mais de 25 mil vagas e ampliará oferta do Ensino Médio noturno em 2025 - GOVERNO DE RORAIMA;https://portal.rr.gov.br/governo-disponibilizara-mais-de-25-mil-vagas-e-ampliara-oferta-do-ensino-medio-noturno-em-2025/;Endereço: | Seu navegador não tem suporte a HTML5;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 2121-7930;;;;;;
Home | SESI-RR;https://www.sesiroraima.com/;"Home | SESI-RR | .aVng1S{border-top:var(--lnw,2px) solid rgba(var(--brd,var(--color_15,color_15)),var(--alpha-brd,1));box-sizing:border-box;height:0}";2025-05-27 17:43:26;iel@ielrr.org.br;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;gabinete@fier.org.br;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com;sac@sesirr.org.br;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;senai@rr.senai.br;(95) 3621-6600;(95) 98126-0099;(95) 3212-3884;(95) 4009-1836;(95) 4009-1808;(95) 4009-1844;(95) 4009-1800
Colégio Positivo - Boa Vista | Colégio Positivo;https://colegiopositivo.com.br/colegio/boa-vista/;Rua Carlos de Campos, 1090, Boa Vista, Curitiba-PR | CEP: 82.560-430 | rioriza a aprendizagem em si, criando avaliações para construir perfis dos;2025-05-27 17:43:26;;;;;;;;;;;;;;(41) 3526-6425;;;;;;
COLÉGIO OBJETIVO BV FAMETRO - OBJETIVO - Educação de Qualidade;https://www.objetivo.br/institucional/unidade/rr/boa-vista/oc-8048-colegio-objetivo-bv-fametro.aspx;Endereço | Rua Capitão Franco de Carvalho, 195 - São Francisco Boa Vista / RR - CEP: 69305-120 Região - Telefone Tel.: (95) 3624-1300 Horário de funcionamento -;2025-05-27 17:43:26;;;;;;;;;;;;;;(11) 99105-9999;(95) 3624-1300;;;;;
Escola Reizinho e CLAS – Formando Vencedores;https://escolareizinhoeclas.com/;Av. Nossa Sra. da Consolata, 263 – São Pedro, Boa Vista – RR, 69306-690;2025-05-27 17:43:26;contato@escolareizinhoeclas.com;;;;;;;;;;;;;(95) 3224-9530;(95) 3623-5640;(95) 99905-4435;;;;
Governo anuncia prazo de matrículas para Educação de Jovens e Adultos em Roraima | Roraima | G1;https://g1.globo.com/rr/roraima/noticia/2024/12/29/governo-anuncia-prazo-de-matriculas-para-educacao-de-jovens-e-adultos-em-roraima.ghtml;Caruaru e região | Susto em aeronave;2025-05-27 17:43:26;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;cobertura-ao-vivo-frontend@apps.globoid;;;;;;;;;;;;;;;;;;
Ranking de escolas no ENEM na cidade de Boa Vista - RR;https://www.melhorescola.com.br/escola/ranking-enem/roraima/boa-vista;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 17:43:26;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;;;;
Página Inicial;https://www.ifrr.edu.br/;"Rua Fernão Dias Paes Leme, nº 11 – Calungá
Boa Vista - RR / CEP: 69.303-220
E-mail: gabinete.reitoria@ifrr.edu.br | Rua Prof. Nonato Chacon, Nº 1976 - Laura Moreira (Conjunto Cidadão)
Boa Vista - RR / CEP: 69.318-000
E-mail: gabinete.cbvzo@ifrr.edu.br";2025-05-27 17:43:26;gabinete.bonfim@ifrr.edu.br;propespi@ifrr.edu.br;gabinete.amajari@ifrr.edu.br;gabinete.cbvzo@ifrr.edu.br;gabinete.novoparaiso@ifrr.edu.br;gabinete.boavista@ifrr.edu.br;gabinete.reitoria@ifrr.edu.br;;;;;;;;;;;;;
"Aplicação da educação ambiental em escola pública de Boa Vista, Roraima
							| Boletim do Museu Integrado de Roraima (Online)";https://periodicos.uerr.edu.br/index.php/bolmirr/article/view/791;Ir para o menu de navegação principal | Palavras-chave:;2025-05-27 17:43:26;bolmirr@gmail.com;;;;;;;;;;;;;;;;;;;
EDUCAÇÃO – Confira lista completa de 54 escolas que serão reformadas pelo Governo de Roraima – SEINF;https://seinf.rr.gov.br/educacao-confira-lista-completa-de-54-escolas-que-serao-reformadas-pelo-governo-de-roraima/;O seu endereço de e-mail não será publicado. | ENDEREÇO:;2025-05-27 17:43:26;seinf.gab@gmail.com;;;;;;;;;;;;;;;;;;;
Sobre a Escolegis | ALE-RR | Assembleia Legislativa de Roraima;https://al.rr.leg.br/escola-do-legislativo-escolegis/;Sobre a Escolegis | ALE-RR | Assembleia Legislativa de Roraima | Usamos cookies em nosso site para fornecer a você uma melhor experiência de navegação.  Saiba mais sobre isso clicando aqui.;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 98402-3402;;;;;;
DSpace UFRR: O currículo diversificado em escolas de Boa Vista-Roraima: na fronteira do conhecimento regional/ local;http://repositorio.ufrr.br:8080/jspui/handle/prefix/637?mode=full;Skip navigation | Navegar;2025-05-27 17:43:26;shirdoill.batalha@ufrr.br;;;;;;;;;;;;;;;;;;;
PRÉ-ESCOLAS DE PERÍODO INTEGRAL em BOA VISTA, RORAIMA;https://guia-roraima.escolasecreches.com.br/educacao-infantil-pre-escola-7-horas-ou-mais-de-duracao/boa-vista-roraima/index.htm;"Privada / Particular
               Em atividade Endereço: AV. MARIO HOMEM DE MELO 7709, 
                Boa Vista. Telefone: 95 3627-5309 | Privada / Particular
                Em atividade Endereço: AV NOSSA SENHORA DA CONSOLATA 263, 
                Boa Vista. Telefone: 95 3623-5640";2025-05-27 17:43:26;info@escolasecreches.com.br;;;;;;;;;;;;;95 3626-7131;95 3627-5309;95 3224-9206;95 9131-0370;95 3623-5640;;
Escola - Escola Estadual Monteiro Lobato - Boa Vista - RR;https://www.escol.as/11830-escola-estadual-monteiro-lobato;Endereço | Avenida Capitao Ene Garcez, 1506, Predio;2025-05-27 17:43:26;gabineteapoio@hotmail.com;monteirolobatorr@hotmail.com;;;;;;;;;;;;(95) 98115-2323;(95) 3623-2140;;;;;
Estude no Claretiano - Boa Vista | Claretiano - Rede de Educação;https://claretiano.edu.br/boavista;Rua Rua Antônio Augusto Martins, 52 - São Francisco | ;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 3621-7200;(95) 98405-3802;;;;;
Sesc Roraima – Site institucional;https://www.sescrr.com.br/;Rua Dr. Araújo Filho, 947 – Centro/ Boa Vista – RR CEP: 69301-090 | ;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 99162-3980;(95) 99151-7646;(95) 99136-2287;(95) 3212-2825;(95) 3624-9850;(95) 3212-2800;
Portal Consed;https://www.consed.org.br/noticia/governo-de-roraima-oferta-mais-de-12-mil-vagas-para-matricula-em-escolas-estaduais;Coronavirus | AVALIAÇÃO;2025-05-27 17:43:26;consed@consed.org.br;atendimento@maxmeio.com;;;;;;;;;;;;(61) 2195-8650;;;;;;
Detran-RR promove ação educativa para alunos de escola do Alto Alegre – Detran Roraima;https://www.detran.rr.gov.br/detran-rr-promove-acao-educativa-para-alunos-de-escola-do-alto-alegre/;Solicitação de alteração de endereço | .brave_popup{display:none};2025-05-27 17:43:26;detranrr@gov.br;;;;;;;;;;;;;;;;;;;
As Escolas com Supletivo EJA em Boa Vista - RR;https://supletivoonline.com/supletivo-eja-boa-vista-rr/;Endereço | O seu endereço de e-mail não será publicado.;2025-05-27 17:43:26;contato@supletivoonline.com;;;;;;;;;;;;;;;;;;;
Quem Somos - Escola Colmeia;https://www.escolacolmeia.com.br/quem-somos/;Endereço:;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 3224-6735;;;;;;
Escola - Escola Estadual Goncalves Dias - Boa Vista - RR;https://www.escol.as/11769-escola-estadual-goncalves-dias;Endereço | Avenida Getulio Vargas, 4333;2025-05-27 17:43:26;escolaestadualgoncalvesdias@hotmail.com;gabineteapoio@hotmail.com;;;;;;;;;;;;(95) 98115-2323;(95) 3624-1168;;;;;
Instruções de Direção para Escola Estadual Prof. Severino Gonçalo Gomes Cavalcante, Av. Nazaré Filgueiras, Boa Vista, Roraima, Boa Vista - Waze;https://www.waze.com/pt-BR/live-map/directions/escola-estadual-prof.-severino-goncalo-gomes-cavalcante-av.-nazare-filgueiras,-boa-vista,-roraima-boa-vista?to=place.w.196149276.1961230617.15869784;Endereço de Escola Estadual Prof. Severino Gonçalo Gomes Cavalcante, Boa Vista | Instruções de Direção para Escola Estadual Prof. Severino Gonçalo Gomes Cavalcante, Av. Nazaré Filgueiras, Boa Vista, Roraima, Boa Vista - Waze;2025-05-27 17:43:26;;;;;;;;;;;;;;(95) 3626-8746;;;;;;
Escola Técnica do SUS em Roraima (ETSUS-RR) | RETS - Rede Internacional de Educação de Técnicos em Saúde;https://www.rets.epsjv.fiocruz.br/membros/escola-tecnica-do-sus-em-roraima-etsus-rr;Endereço | Rua Uraricuera, 1.346 São Vicente Boa Vista - Roraima CEP: 69303-453;2025-05-27 17:43:26;etsus_rr@hotmail.com;;;;;;;;;;;;;95 3623-4398;;;;;;
Prefeitura de Boa Vista capacita novos cuidadores para atuação inclusiva em escolas - portalofato.com.br;https://portalofato.com.br/2025/05/27/prefeitura-de-boa-vista-capacita-novos-cuidadores-para-atuacao-inclusiva-em-escolas/;Não extraído;2025-05-27 17:43:26;redacao.portalofato@gmail.com;jornalismo@portalofato.com.br;;;;;;;;;;;;92 99604-6805;;;;;;
Contato | colegiopmrr;https://www.colegiopmrr.com/visite;Contato | colegiopmrr | Av. Getúlio Vargas, 4193 - Canarinho (anexo a Academia de Polícia Integrada - APICS);2025-05-27 17:43:26;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com;baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com;colegiomilitar.rr@gmail.com;;;(95) 3626-2230;;;;;;
Prefeitura realiza 1ª Conferência de Saúde do Trabalhador e debate melhorias para ambiente laboral em Boa Vista - portalofato.com.br;https://portalofato.com.br/2025/05/27/prefeitura-realiza-1a-conferencia-de-saude-do-trabalhador-e-debate-melhorias-para-ambiente-laboral-em-boa-vista/;Não extraído;2025-05-27 17:43:26;redacao.portalofato@gmail.com;jornalismo@portalofato.com.br;;;;;;;;;;;;92 99604-6805;;;;;;
Escola Centenário de Boa Vista promove semana especial de conscientização | Jornal de Roraima · Juntos por um lugar melhor!;https://www.jornalderoraima.com.br/noticia/252/escola-centenario-de-boa-vista-promove-semana-especial-de-conscientizacao;Escola Centenário de Boa Vista promove semana especial de conscientização | Jornal de Roraima · Juntos por um lugar melhor!;2025-05-27 17:43:26;contato@jornalderoraima.com.br;;;;;;;;;;;;;;;;;;;
Colégio Fametro – Educação Básica: Ensino Fundamental, Ensino Médio, Ensino Técnico e EJA.;https://colegio.fametro.edu.br/;Conj. Bervelly Hills, 100. Rua 2 Chapada, Manaus - AM | ;2025-05-27 17:43:26;direcao.colegio@cemetro.com.br;secretariacolegio@fametro.edu.br;direcao.cemetro@hotmail.com;;;;;;;;;;;(92) 3090-3002;(92) 3090-3001;(95) 99122-3771;(92) 3090-3003;;;
Calendário Escolar | SESI-RR;https://www.sesiroraima.com/calendario-escolar;Calendário Escolar | SESI-RR | Use tab to navigate through the menu items.;2025-05-27 17:43:26;iel@ielrr.org.br;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;gabinete@fier.org.br;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com;sac@sesirr.org.br;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;senai@rr.senai.br;(95) 4009-1808;(95) 3212-3884;;;;;
SEI Roraima – Portal;https://sei.rr.gov.br/portalsei/;“ERRO: Unidade não possui endereço cadastrado” | Causa Provável: Endereço digitado incorretamente.;2025-05-27 17:43:26;sei-suporte@governadoria.rr.gov.br;sei-suporte@casacivil.rr.gov.br;;;;;;;;;;;;;;;;;;
