Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Email 1;Email 2;Email 3;Email 4;Email 5;Email 6;Email 7;Email 8;Email 9;Email 10;Email 11;Email 12;Email 13;Email 14;Email 15;Email 16;Email 17;Email 18;Email 19;Email 20;Email 21;Email 22;Email 23;Email 24;Email 25;Email 26;Email 27;Email 28;Email 29;Email 30;Email 31;Email 32;Email 33;Email 34;Email 35;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5;Telefone 6;Telefone 7;Telefone 8;Telefone 9;Telefone 10;Telefone 11;Telefone 12;Telefone 13;Telefone 14;Telefone 15;Telefone 16;Telefone 17;Telefone 18;Telefone 19;Telefone 20;Telefone 21;Telefone 22;Telefone 23;Telefone 24;Telefone 25;Telefone 26;Telefone 27;Telefone 28;Telefone 29;Telefone 30;Telefone 31;Telefone 32;Telefone 33;Telefone 34;Telefone 35;Telefone 36;Telefone 37;Telefone 38
Melhores Escolas em Botucatu - SP;https://www.melhorescola.com.br/escola/por-avaliacao/sao-paulo/botucatu;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 13:01:48;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escolas no Ensino Médio na cidade de Botucatu - SP;https://querobolsa.com.br/escolas/etapa-de-ensino/ensino-medio/botucatu-sp;Avalie a escola | Avalie a escola e contribua para a educação brasileira.;2025-05-27 13:01:48;imprensa@querobolsa.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhes Escola - Transparência Educação;https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=296697;AVENIDA JOSÉ ÍTALO BACCHI, SN  CEP: 18606-851 | Seu navegador não tem suporte a JavaScript ou está desativado!;2025-05-27 13:01:48;pedag1casabotucatu@fundacaocasa.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEEJA BOTUCATU;https://www.ceejabotucatu.com.br/;Skip to navigation | Qual é o horário limite para iniciar as avaliações?;2025-05-27 13:01:48;e477229a@educacao.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 99730-1507;(14) 3813-6493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ranking de escolas no ENEM na cidade de Botucatu - SP;https://www.melhorescola.com.br/escola/ranking-enem/sao-paulo/botucatu;".the-footer-navigation-desktop{display:flex;gap:1.5rem}.the-footer-navigation-desktop>li{flex:1}.the-footer-navigation-desktop>li>ul{display:flex;flex-direction:column;gap:.5rem} | .the-footer-navigation-mobile__link-list>li{padding:.75rem 0}";2025-05-27 13:01:48;imprensa@melhorescola.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prefeitura de Botucatu - SP;https://www.botucatu.sp.gov.br/cei-centros-de-educacao-infantil;Rua Afonso Fernandes Martins, s/n - Jardim Brasil | Rua Aécio Ramos, 580 - Arlindo Durante;2025-05-27 13:01:48;contato@botucatu.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3811-3122;(14) 3811-3105;(14) 3811-3123;(14) 3811-3110;(14) 99632-0813;(14) 3813-5113;(14) 3811-3117;(14) 3811-3121;(14) 3811-3136;(14) 3811-3130;(14) 3811-3116;(14) 3815-3453;(14) 3811-3139;(14) 3811-1400;(14) 3811-3109;(14) 99752-2976;(14) 3811-3135;(14) 3440-1428;(14) 99632-7586;(14) 3811-3104;(14) 3882-1445;(14) 3811-3131;(14) 3814-6882;(14) 3881-1301;(14) 3811-3112;(14) 3881-7774;(14) 3811-3120;(14) 3811-3186;(14) 3814-7434;(14) 3811-3115;(14) 99614-3441;(14) 3811-3184;(14) 3811-3119;(14) 99610-4474;(14) 99823-0485;(14) 3811-3108;(14) 3813-0271;(14) 3353-0944
SciELO  Brasil - Reflexões sobre uma proposta de integração saúde-escola: o projeto saúde e educação de Botucatu, São Paulo Reflexões sobre uma proposta de integração saúde-escola: o projeto saúde e educação de Botucatu, São Paulo;https://www.scielo.br/j/csp/a/RWrJvBPfPdmvx43JryGDtzQ/?lang=pt;Rua Leopoldo Bulhões, 1480 , 21041-210 Rio de Janeiro RJ Brazil, Tel.:+55 21 2598-2511, Fax: +55 21 2598-2737 / +55 21 2598-2514 | Rua Dr. Diogo de Faria, 1087 – 9º andar – Vila Clementino 04037-003 São Paulo/SP - Brasil E-mail: scielo@scielo.org;2025-05-27 13:01:48;scielo@scielo.org;%20dspaula@fmb.unesp;toralles@ibb.unesp.br;dspaula@fmb.unesp;%20toralles@ibb.unesp.br;cadernos@ensp.fiocruz.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21 2598-2737;21 2598-2511;21 2598-2514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quem Somos – Etec Dr. Domingos Minicucci Filho;https://etecbotucatu.cps.sp.gov.br/quem-somos/;Etec Dr. Domingos Minicucci Filho Av. Santana, 654 - Centro - Botucatu/SP - CEP: 18603-700 | Aviso de Privacidade;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3882-0503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Colégio da Embraer em Botucatu abre inscrições para turmas de 2025 com 64 vagas gratuitas; veja como se inscrever | Bauru e Marília | G1";https://g1.globo.com/sp/bauru-marilia/noticia/2024/06/03/colegio-da-embraer-em-botucatu-abre-inscricoes-para-turmas-de-2025-com-64-vagas-gratuitas-veja-como-se-inscrever.ghtml;Caruaru e região | Adolescente lucrava R$ 3 mil por mês com venda de materiais de exploração sexual;2025-05-27 13:01:48;cobertura-ao-vivo-frontend@apps.globoid;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI Botucatu;https://sp.senai.br/unidade/botucatu/;Endereço: Av. Dr. Jaime de Almeida Pinto, 1332 - Jardim Reflorenda - Botucatu/SP | SENAI Botucatu;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 3322-0050;(14) 3811-3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garça e Botucatu recebem 26º e 27º Polos Regionais da Escola de Construção Civil do interior | ​Fundo Social de São Paulo - FUSSP;https://www.fundosocial.sp.gov.br/garca-e-botucatu-recebem-26o-e-27o-polos-regionais-da-escola-de-construcao-civil-do-interior/;Seu navegador não tem suporte a JavaScript ou está desativado! | Av. Morumbi, 4.500 - Morumbi - São Paulo - SP - 05650-905;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3406-1040;11 2193-6979;(14) 3813-8504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Magna Mater e Colinho da Mamãe;https://www.cmmbtu.com/;- Rua Dr. José Barbosa de Barros, 650-Jardim Paraíso-Botucatu-SP-Brasil | Skip to navigation;2025-05-27 13:01:48;secretaria1@cmmbtu.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 99778-4133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu inaugura escola de Ensino Fundamental em Tempo Integral em Vitoriana - Cidade Botucatu;https://www.cidadebotucatu.com.br/botucatu-inaugura-escola-de-ensino-fundamental-em-tempo-integral-em-vitoriana/;O seu endereço de e-mail não será publicado. | Endereço:;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3811-1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola com Supletivo EJA em Botucatu - SP | Lista Atualizada;https://supletivoonline.com/supletivo-eja-botucatu-sp/;Endereço | O seu endereço de e-mail não será publicado.;2025-05-27 13:01:48;contato@supletivoonline.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Home | Liceu Botucatu - Anglo;https://liceubotucatu.com.br/;Rua General Telles, 3310 - Botucatu/SP | coordenacao@liceuanglo.com.br Acesso Pessoal;2025-05-27 13:01:48;coordenacao@liceuanglo.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3882-2895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etec Dr. Domingos Minicucci Filho | Centro Paula Souza;https://www.cps.sp.gov.br/etecs/etec-dr-domingos-minicucci-filho/;Rua dos Andradas, 140 - Santa Ifigênia CEP 01208-000 – São Paulo – SP | Avaliações;2025-05-27 13:01:48;e051adm@cps.sp.gov.br;e051dir@cps.sp.gov.br;e051acad@cps.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3882-0503;11 3324-3300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kumon BOTUCATU-CENTRO | CONHEÇA A UNIDADE;https://www.kumon.com.br/sp/botucatu-centro/;Para traçar uma rota, informe um endereço ou habilite a localização do seu navegador de internet. | Rua Curuzu, 737, Botucatu - São Paulo;2025-05-27 13:01:48;kumon@kumon.com.br;teruko.kai@unidadekumon.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 3059-3700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cursos profissionalizantes em Botucatu | Cursos tÃ©cnicos em Botucatu;http://www.colegiomariavitoria.com.br/;Av. Floriano Peixoto, 34 - Centro | Botucatu - SP - CEP 18603-730;2025-05-27 13:01:48;contato@sunsetweb.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 3814-6449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Ecóporan – Pedagogia de Rudolf Steiner em Botucatu, SP – Escola Verde Fundamentada na Pedagogia de Rudolf Steiner – Waldorf;https://ecoporan.org/;Possibilitar, por meio da educação, a formação de seres humanos em seu pleno potencial, que atuem no mundo em favor das mudanças sociais, a partir de um senso de responsabilidade livre. | Av. das Hortências, 1236;2025-05-27 13:01:48;ecoporan@ecoporan.org;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 99653-6834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colégio Anglo;https://www.colegioanglo.com/contato;Home Sobre Nós Proposta Pedagógica Informativos Eventos Contato Boletim Online | Informativos;2025-05-27 13:01:48;atendimento@colegioanglo.com;direcao@colegioanglo.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 3815-6665;14 98188-3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMEFI Professora Leonor Bicudo Vizenzzotto - Centro de Referências em Educação Integral;https://educacaointegral.org.br/escolas-de-tempo-integral/emefi-professora-leonor-bicudo-vizenzzotto/;Rua Antônio Henrique Vocci | CEP;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3811-3125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unesp - Faculdade de Medicina - Câmpus de Botucatu;https://www.fmb.unesp.br/#!/cse;"Navegação | Faculdade de Medicina - Câmpus de Botucatu Av. Prof. Mário Rubens Guimarães Montenegro, s/n             - UNESP - Campus de Botucatu Botucatu/SP -
            CEP 18618687 Pabx: (14) 3880-1001";2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3880-1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inscrições para vestibulinho do Colégio Embraer em Botucatu terminam nesta sexta-feira; veja como participar | Bauru e Marília | G1";https://g1.globo.com/sp/bauru-marilia/noticia/2023/06/29/inscricoes-para-vestibulinho-do-colegio-embraer-em-botucatu-terminam-nesta-sexta-feira-veja-como-participar.ghtml;Caruaru e região | Adolescente lucrava R$ 3 mil por mês com venda de materiais de exploração sexual;2025-05-27 13:01:48;cobertura-ao-vivo-frontend@apps.globoid;957b0b3a18c149f4814f2525021e644f@web.sentry.globoi.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cadastre-se Botucatu – Colégio Tyto Alba;https://tytoalba.com.br/cadastre-se-botucatu/;Endereço | Rua;2025-05-27 13:01:48;direcaogeral@tytoalba.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3731-7377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROJETO ESCOLA VERDE ESTÁ SENDO DESENVOLVIDO EM BOTUCATU (SP) – Programa Escola Verde;https://escolaverde.org/site/?p=65025;Não extraído;2025-05-27 13:01:48;eainterdisciplinar@gmail.com;escolaverde@univasf.edu.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(74) 2102-7660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Página inicial | Escola_de_Defesa_Civil;https://escola.defesacivil.sp.gov.br/;📆 02ABR25 SIMULADO DE GESTÃO DE INCÊNDIOS FLORESTAIS - PARQUE ESTADUAL DO JUQUERY 🚨 LOCAL: Rua Miguel Segundo Lerussi, S/N - Franco da Rocha / SP | 🏦 LOCAL CENTRO DE EVENTOS Rua Albuquerque Lins, S/N - Centro - Tremembé / SP;2025-05-27 13:01:48;defesacivildiplen@sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola de Idiomas Botucatu/SP | ICBEU;https://www.icbeu.org.br/;Rua General Telles, 1600 Centro | Botucatu/SP;2025-05-27 13:01:48;secretaria@icbeu.org.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Famesp | Organização Social de Saúde;https://www.famesp.org.br/;Rua João Butignolli, S/N - Distrito de Rubião Júnior - Botucatu-SP - CEP 18618-970 - Caixa Postal 504;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3881-4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quem Somos – Escola Ecóporan – Pedagogia de Rudolf Steiner em Botucatu, SP;https://ecoporan.org/quem-somos/;A aprendizagem em contato com a natureza pode favorecer o desenvolvimento de uma relação saudável com o solo, com as plantas, com os animais e entre os seres humanos. | Av. das Hortências, 1236;2025-05-27 13:01:48;ecoporan@ecoporan.org;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 99653-6834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unesp - Universidade Estadual Paulista - Portal;https://www2.unesp.br/;"Portal da Universidade Estadual Paulista - Rua Quirino de Andrade, 215             - Centro São Paulo/SP -
            CEP 01049-010 Pabx: +55 11 5627-0235 | Navegação";2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 5627-0235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dr. Cardoso de Almeida em Botucatu, SP | Escolas | Solutudo;https://www.solutudo.com.br/empresas/sp/botucatu/escolas/dr-cardoso-de-almeida-2598;Ver endereço | Endereço;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3811-3138;(14) 3811-3182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Famesp | Organização Social de Saúde;https://www.famesp.org.br/processos-seletivos.php?id_emp=01&id_pag=1;Rua João Butignolli, S/N - Distrito de Rubião Júnior - Botucatu-SP - CEP 18618-970 - Caixa Postal 504;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(14) 3881-4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNIP - Universidade Paulista | Ensino Presencial e a Distância;https://www.unip.br/;Endereços Eletrônicos | UNIP - Universidade Paulista | Ensino Presencial e a Distância;2025-05-27 13:01:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(11) 94303-5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
